model,run,seed,epochs_trained,best_epoch,best_f1_score,best_train_loss,best_val_loss,final_f1_score,final_train_loss,final_val_loss,total_training_time_seconds,total_training_time_formatted
microsoft__deberta-v3-large,1,42,4,4,0.7086214148804024,0.1584101178098556,0.4701369268198808,0.7086214148804024,0.1584101178098556,0.4701369268198808,184.40912294387817,0:03:04
microsoft__deberta-v3-large,2,43,4,4,0.7228468424167207,0.1506219820314368,0.4614610566447178,0.7228468424167207,0.1506219820314368,0.4614610566447178,184.0693006515503,0:03:04
microsoft__deberta-v3-large,3,44,4,3,0.7183283196253472,0.2506338253963825,0.4583890276650588,0.7125818347034033,0.1556144533462302,0.470347560942173,187.3069167137146,0:03:07
microsoft__deberta-v3-large,4,45,4,4,0.7056286398657846,0.1510039543689683,0.4579504821449518,0.7056286398657846,0.1510039543689683,0.4579504821449518,187.10604333877563,0:03:07
microsoft__deberta-v3-large,5,46,4,4,0.7161436251838179,0.1522275731400695,0.4759232134868701,0.7161436251838179,0.1522275731400695,0.4759232134868701,200.21490907669067,0:03:20
microsoft__deberta-v3-large,6,47,4,4,0.716227125375745,0.151385766129161,0.4509277908752362,0.716227125375745,0.151385766129161,0.4509277908752362,181.5934076309204,0:03:02
microsoft__deberta-v3-large,7,48,4,3,0.6985680982864594,0.2429703089386918,0.4678890897581975,0.6954197789812481,0.1514399552414583,0.4842433572436372,181.33767366409305,0:03:01
microsoft__deberta-v3-large,8,49,4,4,0.6885983176155961,0.1556403929757517,0.4808986050387223,0.6885983176155961,0.1556403929757517,0.4808986050387223,181.74825811386108,0:03:02
microsoft__deberta-v3-large,9,50,4,4,0.7083025338261572,0.1490647698384384,0.5158074752738079,0.7083025338261572,0.1490647698384384,0.5158074752738079,183.36249446868896,0:03:03
microsoft__deberta-v3-large,10,51,4,3,0.704294598191861,0.2541180155131706,0.4420993986229102,0.7036535193918829,0.16095922350190406,0.4477071159829696,183.16626906394958,0:03:03
